Temporary Crop,Number of Holdings.1,Area (ha.),Permanent crop type,Total holdings reporting,Compact plantation area (ha),Compact plantation Number of scattered trees,Productive age,Non-productive age,Productive age.1,Non-productive age.1,No. of holdings,Area (ha),Number of trees,Area_ha,prov,dist,Area_Name,Total_Households,total,Male,Female,absnt_cntry_hhld,absnt_cntry_tot,absnt_cntry_male,absnt_cntry_feml,absnt_abrd_hhld,absnt_abrd_tot,absnt_abrd_male,absnt_abrd_feml,Domain Value,Analytical Domain,Yes,No,Don't Know,River,Length(km),River Attribute,Value,District/Zone/Region,Total Population (2011),Total Area (Km2),Total Road Length (Km.),Population Influenced per Km. Road (Nos.),Road Density (Km/100,locations,Altitude in masl,Average Annual Rainfall(in mm),S.N.,Glacier Lake,Location /District,Altitude (m.),Area (sq.m.),Year,Number of People Dead,Number of People Injured,Number of Livestock Loss,Number of House Destroyed,Number of Affected Family,Land Affected (Ha.),Estimated Loss (Million NRs.),Disaster type,No. of death,No. of persons missing,No. of persons injured,No. of houses damaged or destroyed,No of affected families,No. of incidents,Year.1,Flood & Landslides,Earthquake,"Windstorms, Hailstorm & Thunderbolt",Avalanche,Fire,Epidemic,Stampede,Total.1,S.N..1,District,Total Lake,<100m,100-499 m,500- 1999m,2000-2999m,3000-4999m,> 5000m,Region.1,Station,Date of Establishment,Meterological Station Lat(N),Meterological Station Long(E),Meterological Station Altitude(in masl),Hydrological Station Lat(N),Hydrological Station Long.(E),Hydrological Station Altitude(in masl),Catchment(sq km),River Basin,Glacier Covered(in percentage),Source,Type of hydrological station,Type of meterological station,Remarks,district,district_matched,district_matched_second_round,district_matched_count,district_matched_second_round_count
Early paddy,261873.0,71585.8,Orange,363359.0,6545.3,85874.0,4055.2,2581644.0,54507.0,2490.1,2238666.0,879882.0,888446.0,10,0,0,Nepal,6666937,29164578,14253551,14911027,889522,2267236,1294935,972301,1555961,2190592,1799675,390917,Urban,Municipality,89.5,7.6,2.9,Mahakali,223.0,Drainage Area (kmÂ²) - Total,15260.0,Km2),269698.5,1697.5,173.62,1394.5,11.0,Pokhara,0-1000,3000 and above,1.0,Lower Barun,Sankhuwasabha,4550.0,143249.0,1983-01-01,579.0,220.0,248.0,12.0,18432.5,,240.0,Epidemic,16564.0,0.0,43076.0,0.0,512970.0,3448.0,1983-01-01,293.0,0.0,42.5,0.0,69.0,217.0,0.0,579.0,1.0,Taplejung,380.0,0.0,0.0,0.0,2.0,297.0,81.0,MAKALU,Tashigaon,,"27  37 00""","87  16 00""",2100.0,-,-,-,-,-,-,-,Semiautomatic,-,-,nepal,,kabhrepalanchok,78,80
Main paddy,2680955.0,1130360.5,Junar,34806.0,251.5,5730.0,153.1,83690.0,2644.0,98.4,288813.0,53718.0,44494.0,21,0,0,Urban Munipalities,4479662,19296788,9454545,9842243,507033,1183202,691644,491558,1044566,1468517,1186980,281537,Rural,Municipality,84.1,11.7,4.2,Karnali,507.0,Drainage Area (kmÂ²) - Total,44000.0,Taplejung,128547.0,3646.0,68.5,1877.0,2.0,Kaski,0-1000,3000 and above,2.0,Lumding Tsho,Solukhumbu,4846.0,104943.0,1984-01-01,941.0,220.0,3547.0,10597.0,18432.5,1242.0,49.0,Earthquake,9771.0,0.0,29142.0,982855.0,890995.0,175.0,1984-01-01,363.0,0.0,42.5,0.0,57.0,521.0,0.0,941.0,2.0,Panchthar,17.0,0.0,0.0,2.0,8.0,7.0,0.0,MAKALU,Barun Dovan,,-,-,-,27  4400,87  11 00,2000.0,240.0,Barun,-,Lower Barun Glacier,Staff gauge,Raingauge,-,urban munipalities,,,78,80
Upland paddy,86572.0,14441.4,Lemon,500552.0,2806.9,53129.0,1287.5,805718.0,35998.0,1519.4,1504232.0,665740.0,782471.0,22,0,0,Rural Municipalities,2187275,9867790,4799006,5068784,382489,1084034,603291,480743,511395,722075,612695,109380,Mountain,Ecological Zone,82.4,11.4,6.3,Babai,190.0,Drainage Area (kmÂ²) - Total,3400.0,Panchthar,198362.0,1241.0,220.86,898.0,18.0,Khudibazar,0-1000,3000 and above,3.0,Dig Tsho,-,4364.0,143249.0,1985-01-01,1387.0,220.0,3399.0,7166.0,18432.5,1355.0,23.0,Landslide,4832.0,165.0,1727.0,32819.0,556774.0,3012.0,1985-01-01,420.0,0.0,42.5,0.0,52.0,915.0,0.0,1387.0,3.0,Ilam,30.0,0.0,14.0,14.0,1.0,1.0,0.0,KHUMBU,Dingboche,,"27 53 20""","86  49 50""",4355.0,"27  53 40""","86  5640""",4375.0,135.0,Imja,27.0,Imja glacier,Recorder,Semiautomatic,-,rural municipalities,,,78,80
Wheat,2049091.0,654194.3,Lime,115538.0,152.3,9018.0,116.8,49366.0,2867.0,35.5,62766.0,144534.0,71713.0,31,0,0,Mountain,409799,1772948,874260,898688,93357,266719,148488,118231,66981,116060,81811,34249,Hill,Ecological Zone,86.0,11.4,2.6,West Rapti,257.0,Drainage Area (kmÂ²) - Total,6500.0,Ilam,295824.0,1703.0,250.95,1179.0,15.0,Lamjung,0-1000,3000 and above,4.0,Imja Tsho,-,5023.0,48811.0,1986-01-01,1512.0,220.0,6566.0,3370.0,18432.5,1315.0,23.0,Flood,4344.0,6.0,527.0,215427.0,3702942.0,3720.0,1986-01-01,315.0,0.0,42.5,0.0,96.0,1101.0,0.0,1512.0,4.0,Jhapa,136.0,59.0,78.0,0.0,0.0,0.0,0.0,KHUMBU,Pangboche,,-,-,-,-,-,-,-,-,-,khumbu Glacier,-,raingauge,-,mountain,,,78,80
Spring/winter maize,578347.0,133695.6,Sweet Orange,55904.0,186.0,8461.0,138.9,106123.0,2733.0,47.2,93414.0,103142.0,78315.0,32,0,0,Hill,2949056,11757624,5717247,6040377,508447,1399384,771607,627777,691979,990723,787722,203001,Terai,Ecological Zone,89.4,6.9,3.8,Narayani,332.0,Drainage Area (kmÂ²) - Total,34960.0,Jhapa,810636.0,1606.0,196.6,4123.0,12.0,Mahendranagar,0-1000,1000-2000,5.0,Tam Pokhari,-,4431.0,138846.0,1987-01-01,881.0,162.0,1852.0,36220.0,97036.0,18858.0,2005.0,Fire,1541.0,0.0,1379.0,83527.0,256445.0,7187.0,1987-01-01,391.0,0.0,2.0,0.0,62.0,426.0,0.0,881.0,5.0,Morang,184.0,123.0,60.0,1.0,0.0,0.0,0.0,KHUMBU,Imja lake,,27 59 N,86  56 E,5000.0,-,-,-,-,Imja,-,Imja glacier,RLS(Radar Level Sensor) in lake,AWS,-,hill,,,78,80
Summer maize,2046127.0,414181.9,Other Citrus,158593.0,275.7,11690.0,203.9,81311.0,4085.0,71.8,58768.0,230995.0,128018.0,33,0,0,Tarai,3308082,15634006,7662044,7971962,287718,601133,374840,226293,797001,1083809,930142,153667,Koshi-Mountain,Province-ecological zone,74.1,12.5,13.3,Bagmati,163.0,Drainage Area (kmÂ²) - Total,3700.0,Morang,964709.0,1855.0,216.22,4462.0,12.0,Kanchanpur,0-1000,1000-2000,6.0,Dudh Pokhari,-,4760.0,274296.0,1988-01-01,1584.0,12538.0,2788.0,108801.0,70197.0,,6099.0,Thunderbolt,1502.0,129.0,2444.0,952.0,6880.0,1505.0,1988-01-01,328.0,721.0,42.5,14.0,23.0,427.0,71.0,1584.0,6.0,Sunsari,69.0,41.0,28.0,0.0,0.0,0.0,0.0,KHUMBU,Sangboche,,"27 48 53.8""","86  42 48""",3832.0,-,-,-,-,-,-,-,-,AWS,-,tarai,mahottari,mahottari,78,80
Green maize,112424.0,12031.8,Mango,1228104.0,19781.7,224095.0,16905.7,3208049.0,66527.0,2875.9,929646.0,2422708.0,1305599.0,40,1,0,Province-1,1191556,4961412,2417328,2544084,153603,347361,193634,153727,269892,343034,286631,56403,Koshi-Hill,Province-ecological zone,90.6,7.2,2.2,Sapkoshi,513.0,Drainage Area (kmÂ²) - Total,60400.0,Sunsari,751125.0,1257.0,193.83,3875.0,15.0,Nepalganj,0-1000,1000-2000,7.0,Unnamed 1,-,5266.0,133752.0,1989-01-01,1716.0,3014.0,4240.0,7648.0,18432.5,,4172.0,Cold wave,515.0,0.0,83.0,0.0,2393.0,390.0,1989-01-01,680.0,0.0,28.0,20.0,109.0,879.0,0.0,1716.0,7.0,Dhankuta,4.0,0.0,0.0,4.0,0.0,0.0,0.0,KHUMBU,Gokyo,,"27 57 9.4""","86  41 55""",4800.0,-,-,-,-,-,-,-,-,AWS,Closed,province-1,,,78,80
Millet,869100.0,122113.5,Banana,710693.0,7898.2,150641.0,5908.5,7326919.0,66751.0,1989.7,3071603.0,2779386.0,2565545.0,40,2,0,Madhesh,1156715,6114600,3065751,3048849,76680,188548,120693,67855,252015,304286,292427,11859,Koshi-Terai,Province-ecological zone,93.3,4.7,2.0,Kankai,108.0,Drainage Area (kmÂ²) - Total,1330.0,Dhankuta,164133.0,891.0,134.68,1219.0,15.0,Banke,0-1000,1000-2000,8.0,Unnamed 2,-,5056.0,112398.0,1990-01-01,913.0,196.0,867.0,6352.0,8462.0,1132.0,139.0,Snow storm,87.0,7.0,0.0,0.0,0.0,5.0,1990-01-01,307.0,0.0,57.0,0.0,46.0,503.0,0.0,913.0,8.0,Terathum,4.0,0.0,0.0,2.0,2.0,0.0,0.0,KHUMBU,Phanka,,-,-,-,"27  54 53""","86  43 65""",4450.0,-,-,-,-,-,RLS,Closed,madhesh,,,78,80
Barley/naked barley,296820.0,23270.8,Guava,449161.0,364.2,26466.0,282.1,139001.0,6895.0,82.1,111365.0,730494.0,250151.0,40,3,0,Bagmati,1570927,6116866,3048684,3068182,235374,713688,389907,323781,283228,397930,280120,117810,Madhesh-Terai,Province-ecological zone,93.5,4.3,2.2,Other River,240.0,Drainage Area (kmÂ²) - Total,24921.0,Terhathum,101709.0,679.0,125.07,813.0,18.0,Dhangadi,0-1000,1000-2000,9.0,Hungu,-,5181.0,198905.0,1991-01-01,971.0,43.0,642.0,5510.0,6426.0,283.0,43.0,Avalanche,16.0,3.0,7.0,0.0,0.0,2.0,1991-01-01,93.0,0.0,63.0,0.0,90.0,725.0,0.0,971.0,9.0,Sankhuwasabha,159.0,0.0,0.0,3.0,4.0,109.0,43.0,KHUMBU,Thukla,,-,-,4600.0,-,-,-,-,-,-,-,-,AWS,Closed,bagmati,,,78,80
Buckwheat,85383.0,8089.5,JackFruit,207344.0,459.1,19827.0,391.7,110558.0,4230.0,67.5,52359.0,230090.0,119593.0,40,4,0,Gandaki,662480,2466427,1170833,1295594,136668,362874,195458,167416,207910,286593,239788,46805,Bagmati-Mountain,Province-ecological zone,82.5,12.6,5.0,Mahakali,223.0,Drainage Area (kmÂ²) - Nepal,5410.0,Sankhuwasabha,159649.0,3480.0,190.1,840.0,5.0,Kailali,0-1000,1000-2000,10.0,East Hungu 1,-,5379.0,78760.0,1992-01-01,1318.0,17.0,1586.0,13997.0,11535.0,135.0,52.0,Wind storm,0.0,0.0,2.0,0.0,0.0,16.0,1992-01-01,71.0,2.0,20.0,0.0,97.0,128.0,0.0,318.0,10.0,Bhojpur,7.0,0.0,0.0,5.0,1.0,1.0,0.0,LANGTANG,Kyangjing,,"28 13 00""","85  37 00""",3920.0,"28 1234""","85  32 50""",3658.0,340.0,Langtang,38.0,Langtang yala  Lirung and khimsung glacier,RLS (Radar Level Sensr),Semiautmatic/ AWS,-,gandaki,,,78,80
